Partname-S,Partname,Position,max_P,min_P,width,max_W,min_W
ECASD31A686M040KA0+C001/K803,ECASD31A686M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M020KA0+C009/K803,ECASD31C476M020KA0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040KA0+C001/K803,ECASD31C476M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040KA0+C005/K803,ECASD31C476M040KA0+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040KA0+C007/K803,ECASD31C476M040KA0+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040KA0+SA04/K803,ECASD31C476M040KA0+SA04,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040KH0+C001/K803,ECASD31C476M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31C476M040LA0+C001/L801,ECASD31C476M040LA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31D476M040KA0+SA02/K803,ECASD31D476M040KA0+SA02,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31D476M040KA0+SA05/K803,ECASD31D476M040KA0+SA05,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E106M040KA0+C001/K803,ECASD31E106M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E106M040KH0+C009/K803,ECASD31E106M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E156M040KA0+C001/K803,ECASD31E156M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E156M040KH0+C009/K803,ECASD31E156M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E226M040KA0+C001/K803,ECASD31E226M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E226M040KA0+S004/K803,ECASD31E226M040KA0+S004,4.9,4.95,4.85,0.75,0.85,0.65
ECASD31E226M040KH0+C001/K803,ECASD31E226M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
